Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	Snowcover	SM	Recharge	SUZ	SLZ	Q0	Q1	Q2	Qsim_rain	Qsim_snow
20151001	2.3899641349	1.116	0.0	7.9	2.27	2.27	0.0	0.00	69.7	0.0	8.7	4.1	0.000	1.9814224647	0.4085416702	2.390	0.000
20151002	1.9045433429	0.592	0.0	5.9	1.68	1.68	0.0	0.00	68.0	0.0	6.4	4.5	0.000	1.4554177101	0.4491256328	1.904	0.000
20151003	1.5128483615	0.452	0.0	6.2	1.86	1.91	0.0	0.00	66.2	0.0	4.5	4.9	0.000	1.0267870719	0.4860612897	1.513	0.000
20151004	1.1971812383	0.376	0.0	6.4	1.80	1.90	0.0	0.00	64.4	0.0	3.0	5.3	0.000	0.6775046321	0.5196766061	1.197	0.000
20151005	0.9431514999	0.340	0.0	7.3	2.12	2.30	0.0	0.00	62.3	0.0	1.7	5.6	0.000	0.3928814349	0.5502700651	0.943	0.000
20151006	0.7451956100	0.319	0.1	8.6	2.47	2.77	0.0	0.00	59.8	0.0	0.7	5.9	0.000	0.1670822928	0.5781133172	0.745	0.000
20151007	0.5922597199	0.314	0.0	10.8	1.75	2.04	0.0	0.00	58.1	0.0	0.0	6.0	0.000	0.000	0.5922597199	0.592	0.000
20151008	0.5390183801	0.308	0.0	7.1	1.50	1.80	0.0	0.00	56.6	0.0	0.0	5.5	0.000	0.000	0.5390183801	0.539	0.000
20151009	1.4554196495	1.196	17.1	7.1	1.07	1.19	0.0	0.00	67.0	5.7	3.9	5.7	0.000	0.8875465441	0.5678731053	1.455	0.000
20151010	1.1787473260	0.728	0.3	4.9	1.99	2.07	0.0	0.00	65.2	0.1	2.6	6.0	0.000	0.5846133984	0.5941339276	1.179	0.000
20151011	0.9352202733	0.533	0.0	9.3	2.02	2.16	0.0	0.00	63.2	0.0	1.4	6.3	0.000	0.3171862468	0.6180340265	0.935	0.000
20151012	0.7390508885	0.467	0.0	13.4	2.12	2.34	0.0	0.00	61.0	0.0	0.4	6.5	0.000	0.0992652687	0.6397856199	0.739	0.000
20151013	0.8890120587	0.469	5.0	13.2	1.42	1.58	0.0	0.00	63.0	1.7	1.0	6.7	0.000	0.2294302105	0.6595818482	0.889	0.000
20151014	1.0207644498	0.666	4.9	6.0	1.61	1.74	0.0	0.00	64.5	1.7	1.5	6.9	0.000	0.3431659604	0.6775984895	1.021	0.000
20151015	0.8144311320	0.539	0.0	6.4	2.00	2.16	0.0	0.00	62.5	0.0	0.5	7.0	0.000	0.1204356119	0.6939955201	0.814	0.000
