Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	Snowcover	SM	Recharge	SUZ	SLZ	Q0	Q1	Q2	Qsim_rain	Qsim_snow
20151001	3.584946202	1.674	0	7.9	2.27	2.27	0	0	69.7	0	8.7	4.1	0	2.972133697	0.612812505	2.39	0
20151002	2.856815014	0.888	0	5.9	1.68	1.68	0	0	68	0	6.4	4.5	0	2.183126565	0.673688449	1.904	0
20151003	2.269272542	0.678	0	6.2	1.86	1.91	0	0	66.2	0	4.5	4.9	0	1.540180608	0.729091935	1.513	0
20151004	1.795771857	0.564	0	6.4	1.8	1.9	0	0	64.4	0	3	5.3	0	1.016256948	0.779514909	1.197	0
20151005	1.41472725	0.51	0	7.3	2.12	2.3	0	0	62.3	0	1.7	5.6	0	0.589322152	0.825405098	0.943	0
20151006	1.117793415	0.4785	0.1	8.6	2.47	2.77	0	0	59.8	0	0.7	5.9	0	0.250623439	0.867169976	0.745	0
20151007	0.88838958	0.471	0	10.8	1.75	2.04	0	0	58.1	0	0	6	0	0	0.88838958	0.592	0
20151008	0.80852757	0.462	0	7.1	1.5	1.8	0	0	56.6	0	0	5.5	0	0	0.80852757	0.539	0
20151009	2.183129474	1.794	17.1	7.1	1.07	1.19	0	0	67	5.7	3.9	5.7	0	1.331319816	0.851809658	1.455	0
20151010	1.768120989	1.092	0.3	4.9	1.99	2.07	0	0	65.2	0.1	2.6	6	0	0.876920098	0.891200891	1.179	0
20151011	1.40283041	0.7995	0	9.3	2.02	2.16	0	0	63.2	0	1.4	6.3	0	0.47577937	0.92705104	0.935	0
20151012	1.108576333	0.7005	0	13.4	2.12	2.34	0	0	61	0	0.4	6.5	0	0.148897903	0.95967843	0.739	0
20151013	1.333518088	0.7035	5	13.2	1.42	1.58	0	0	63	1.7	1	6.7	0	0.344145316	0.989372772	0.889	0
20151014	1.531146675	0.999	4.9	6	1.61	1.74	0	0	64.5	1.7	1.5	6.9	0	0.514748941	1.016397734	1.021	0
