Date	pH	Cl-	HCO3-	Ca++	DOC	X-	SOC(s)	SOC-lz(s)	Calcite(s)	Calcite-lz(s)	CO2(*g)
20151001	5.405	1.50E-07	1.00E-10	7.75E-07	2.83E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151002	5.405	1.50E-07	1.00E-10	7.75E-07	2.83E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151003	5.405	1.50E-07	1.00E-10	7.75E-07	2.83E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151004	5.405	1.50E-07	1.00E-10	7.75E-07	2.83E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151005	5.405	1.50E-07	1.00E-10	7.75E-07	2.83E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151006	5.405	1.50E-07	1.00E-10	7.75E-07	2.83E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151007	5.16	2.82E-06	1.00E-10	2.00E-06	6.92E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151008	5.16	2.82E-06	1.00E-10	2.00E-06	6.92E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151009	5.16	2.82E-06	1.00E-10	2.00E-06	6.92E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151010	5.16	2.82E-06	1.00E-10	2.00E-06	6.92E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151011	5.16	2.82E-06	1.00E-10	2.00E-06	6.92E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151012	5.16	2.82E-06	1.00E-10	2.00E-06	6.92E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151013	5.16	2.82E-06	1.00E-10	2.00E-06	6.92E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151014	5.16	2.82E-06	1.00E-10	2.00E-06	6.92E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151015	5.74	2.26E-06	1.00E-10	1.03E-05	7.17E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151016	5.74	2.26E-06	1.00E-10	1.03E-05	7.17E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151017	5.74	2.26E-06	1.00E-10	1.03E-05	7.17E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151018	5.74	2.26E-06	1.00E-10	1.03E-05	7.17E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151019	5.74	2.26E-06	1.00E-10	1.03E-05	7.17E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151020	5.74	2.26E-06	1.00E-10	1.03E-05	7.17E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151021	5.74	2.26E-06	1.00E-10	1.03E-05	7.17E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151022	5.38	7.05E-06	1.00E-10	1.08E-05	1.00E-04	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151023	5.38	7.05E-06	1.00E-10	1.08E-05	1.00E-04	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151024	5.38	7.05E-06	1.00E-10	1.08E-05	1.00E-04	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151025	5.38	7.05E-06	1.00E-10	1.08E-05	1.00E-04	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151026	5.38	7.05E-06	1.00E-10	1.08E-05	1.00E-04	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151027	5.32	1.69E-06	1.00E-10	7.25E-07	4.00E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151028	5.32	1.69E-06	1.00E-10	7.25E-07	4.00E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151029	5.32	1.69E-06	1.00E-10	7.25E-07	4.00E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151030	5.32	1.69E-06	1.00E-10	7.25E-07	4.00E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151031	5.32	1.69E-06	1.00E-10	7.25E-07	4.00E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151101	5.32	1.69E-06	1.00E-10	7.25E-07	4.00E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151102	5.32	1.69E-06	1.00E-10	7.25E-07	4.00E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151103	5.21	1.69E-06	1.00E-10	2.50E-06	4.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151104	5.21	1.69E-06	1.00E-10	2.50E-06	4.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151105	5.21	1.69E-06	1.00E-10	2.50E-06	4.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151106	5.21	1.69E-06	1.00E-10	2.50E-06	4.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151107	5.21	1.69E-06	1.00E-10	2.50E-06	4.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151108	5.21	1.69E-06	1.00E-10	2.50E-06	4.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151109	5.21	1.69E-06	1.00E-10	2.50E-06	4.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151110	5.21	1.69E-06	1.00E-10	2.50E-06	4.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151111	5.21	1.69E-06	1.00E-10	2.50E-06	4.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151112	5.21	1.69E-06	1.00E-10	2.50E-06	4.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151113	5.21	1.69E-06	1.00E-10	2.50E-06	4.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151114	5.21	1.69E-06	1.00E-10	2.50E-06	4.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151115	5.21	1.69E-06	1.00E-10	2.50E-06	4.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151116	5.21	1.69E-06	1.00E-10	2.50E-06	4.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151117	5.41	5.36E-06	1.00E-10	3.25E-06	2.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151118	5.41	5.36E-06	1.00E-10	3.25E-06	2.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151119	5.41	5.36E-06	1.00E-10	3.25E-06	2.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151120	5.41	5.36E-06	1.00E-10	3.25E-06	2.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151121	5.41	5.36E-06	1.00E-10	3.25E-06	2.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151122	5.41	5.36E-06	1.00E-10	3.25E-06	2.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151123	5.41	5.36E-06	1.00E-10	3.25E-06	2.50E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151124	5.36	1.38E-05	1.00E-10	1.08E-05	6.17E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151125	5.36	1.38E-05	1.00E-10	1.08E-05	6.17E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151126	5.36	1.38E-05	1.00E-10	1.08E-05	6.17E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151127	5.36	1.38E-05	1.00E-10	1.08E-05	6.17E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151128	5.36	1.38E-05	1.00E-10	1.08E-05	6.17E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151129	5.36	1.38E-05	1.00E-10	1.08E-05	6.17E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151130	5.36	1.38E-05	1.00E-10	1.08E-05	6.17E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151201	5.36	1.38E-05	1.00E-10	1.08E-05	6.17E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151202	5	3.67E-06	1.00E-10	1.00E-06	3.33E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151203	5	3.67E-06	1.00E-10	1.00E-06	3.33E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151204	5	3.67E-06	1.00E-10	1.00E-06	3.33E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151205	5	3.67E-06	1.00E-10	1.00E-06	3.33E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151206	5	3.67E-06	1.00E-10	1.00E-06	3.33E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151207	5	3.67E-06	1.00E-10	1.00E-06	3.33E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151208	5	3.67E-06	1.00E-10	1.00E-06	3.33E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151209	4.76	1.41E-06	1.00E-10	2.00E-06	3.75E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151210	4.76	1.41E-06	1.00E-10	2.00E-06	3.75E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151211	4.76	1.41E-06	1.00E-10	2.00E-06	3.75E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151212	4.76	1.41E-06	1.00E-10	2.00E-06	3.75E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151213	4.76	1.41E-06	1.00E-10	2.00E-06	3.75E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151214	4.76	1.41E-06	1.00E-10	2.00E-06	3.75E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151215	4.76	1.41E-06	1.00E-10	2.00E-06	3.75E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151216	4.76	1.41E-06	1.00E-10	2.00E-06	3.75E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151217	5.17	3.38E-06	1.00E-10	1.50E-06	3.42E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151218	5.17	3.38E-06	1.00E-10	1.50E-06	3.42E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151219	5.17	3.38E-06	1.00E-10	1.50E-06	3.42E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151220	5.17	3.38E-06	1.00E-10	1.50E-06	3.42E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151221	5.17	3.38E-06	1.00E-10	1.50E-06	3.42E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151222	5.17	3.38E-06	1.00E-10	1.50E-06	3.42E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
20151223	5.17	3.38E-06	1.00E-10	1.50E-06	3.42E-05	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10
