Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	Snowcover	SM	Recharge	SUZ	SLZ	Q0	Q1	Q2	Qsim_rain	Qsim_snow
20151001	1.8298917413	1.116	0.0	7.9	2.27	2.27	0.0	0.00	69.7	0.0	3.1	11.3	0.000	0.7152541813	1.11463756	1.830	0.000
20151002	1.2974697932	0.592	0.0	5.9	1.68	1.68	0.0	0.00	68.0	0.0	0.0	13.1	0.000	0.000	1.2974697932	1.297	0.000
20151003	1.1808334127	0.452	0.0	6.2	1.86	1.91	0.0	0.00	66.2	0.0	0.0	12.0	0.000	0.000	1.1808334127	1.181	0.000
20151004	1.0746820896	0.376	0.0	6.4	1.80	1.90	0.0	0.00	64.4	0.0	0.0	10.9	0.000	0.000	1.0746820896	1.075	0.000
20151005	0.9780732669	0.340	0.0	7.3	2.12	2.30	0.0	0.00	62.3	0.0	0.0	9.9	0.000	0.000	0.9780732669	0.978	0.000
20151006	0.8931280839	0.319	0.1	8.6	2.47	2.77	0.0	0.00	59.8	0.0	0.0	9.0	0.000	0.000	0.8931280839	0.893	0.000
20151007	0.8128401053	0.314	0.0	10.8	1.75	2.04	0.0	0.00	58.1	0.0	0.0	8.2	0.000	0.000	0.8128401053	0.813	0.000
20151008	0.7397696351	0.308	0.0	7.1	1.50	1.80	0.0	0.00	56.6	0.0	0.0	7.5	0.000	0.000	0.7397696351	0.740	0.000
20151009	1.3597649701	1.196	17.1	7.1	1.07	1.19	0.0	0.00	67.0	5.7	1.5	10.3	0.000	0.3464075194	1.0133574507	1.360	0.000
20151010	1.0693285369	0.728	0.3	4.9	1.99	2.07	0.0	0.00	65.2	0.1	0.0	10.8	0.000	0.000	1.0693285369	1.069	0.000
20151011	0.9732009733	0.533	0.0	9.3	2.02	2.16	0.0	0.00	63.2	0.0	0.0	9.9	0.000	0.000	0.9732009733	0.973	0.000
20151012	0.8857148217	0.467	0.0	13.4	2.12	2.34	0.0	0.00	61.0	0.0	0.0	9.0	0.000	0.000	0.8857148217	0.886	0.000
20151013	0.9555353709	0.469	5.0	13.2	1.42	1.58	0.0	0.00	63.0	1.7	0.0	9.7	0.000	0.000	0.9555353709	0.956	0.000
20151014	1.0228025013	0.666	4.9	6.0	1.61	1.74	0.0	0.00	64.5	1.7	0.0	10.4	0.000	0.000	1.0228025013	1.023	0.000
20151015	0.9308574076	0.539	0.0	6.4	2.00	2.16	0.0	0.00	62.5	0.0	0.0	9.4	0.000	0.000	0.9308574076	0.931	0.000
