TIME           	H+_SNOW        	Cl-_SNOW       	HCO3-_SNOW     	Ca++_SNOW      	DOC_SNOW       	H+_SURFACE     	Cl-_SURFACE    	HCO3-_SURFACE  	Ca++_SURFACE   	DOC_SURFACE    	H+_UZ          	Cl-_UZ         	HCO3-_UZ       	Ca++_UZ        	DOC_UZ         	X-_UZ          	SOC(s)_UZ      	SOC-lz(s)_UZ   	CO2(*g)_UZ     	OH-_UZ         	CO3--_UZ       	CO2(aq)_UZ     	XDOC_UZ        	H+_LZ          	Cl-_LZ         	HCO3-_LZ       	Ca++_LZ        	DOC_LZ         	X-_LZ          	SOC(s)_LZ      	SOC-lz(s)_LZ   	CO2(*g)_LZ     	OH-_LZ         	CO3--_LZ       	CO2(aq)_LZ     	XDOC_LZ        	H+_riv         	Cl-_riv        	HCO3-_riv      	Ca++_riv       	DOC_riv        	X-_riv         	SOC(s)_riv     	SOC-lz(s)_riv  	CO2(*g)_riv    	OH-_riv        	CO3--_riv      	CO2(aq)_riv    	XDOC_riv       	SOC(s)_rate_UZ         	SOC-lz(s)_rate_UZ      	CO2(*g)_rate_UZ        	SOC(s)_rate_LZ         	SOC-lz(s)_rate_LZ      	CO2(*g)_rate_LZ        
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             
20151001       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.73308e-05    	1.30093e-05    	1.42344e-05    	7.32912e-06    	0.000682116    	0.0191532      	0.0854243      	7.34507e-10    	10             	3.75649e-10    	2.51637e-11    	0.000847539    	0.00734684     	2.11686e-05    	9.86693e-06    	1.33288e-05    	5.68688e-06    	7.08889e-05    	0.000237002    	8.65951e-10    	0.00735739     	87             	4.84241e-10    	3.03263e-11    	0.000615646    	9.44783e-06    	2.36116e-05    	1.10952e-05    	1.37172e-05    	6.32879e-06    	0.000309801    	8.51633e-21    	1e-20          	1e-20          	1e-20          	4.34416e-10    	2.80168e-11    	0.000706252    	1.48367e-21    	0                      	0                      	0                      	0                      	0                      	0                      
20151002       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.77702e-05    	1.3266e-05     	1.44155e-05    	7.47375e-06    	0.000708135    	0.0189527      	0.0854236      	7.34505e-10    	10             	3.69752e-10    	2.5087e-11     	0.000872009    	0.00754727     	2.12888e-05    	9.91071e-06    	1.3378e-05     	5.70989e-06    	7.6494e-05     	0.000236286    	8.65951e-10    	0.00735739     	87             	4.8152e-10     	3.02682e-11    	0.000621411    	1.0164e-05     	2.12888e-05    	9.91071e-06    	1.3378e-05     	5.70989e-06    	7.6494e-05     	9.58758e-21    	1e-20          	1e-20          	1e-20          	4.8152e-10     	3.02682e-11    	0.000621411    	4.12418e-22    	-0.00109799            	-2.59568e-12           	1.17216e-07            	-1.47143e-14           	-0.000442011           	-0.000301158           
20151003       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.82477e-05    	1.35601e-05    	1.45969e-05    	7.63943e-06    	0.000765124    	0.0185281      	0.085423       	7.34503e-10    	10             	3.63553e-10    	2.49804e-11    	0.00089804     	0.00797194     	2.13159e-05    	9.91071e-06    	1.34051e-05    	5.70989e-06    	7.47881e-05    	0.000236503    	8.65951e-10    	0.00735739     	87             	4.8091e-10     	3.02913e-11    	0.00062346     	9.94653e-06    	2.13159e-05    	9.91071e-06    	1.34051e-05    	5.70989e-06    	7.47881e-05    	9.59641e-21    	1e-20          	1e-20          	1e-20          	4.8091e-10     	3.02913e-11    	0.00062346     	4.03592e-22    	-0.000888226           	-2.6824e-12            	9.31228e-08            	-1.47143e-14           	-0.000480822           	-0.000168267           
20151004       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.87432e-05    	1.38675e-05    	1.4783e-05     	7.81261e-06    	0.000789992    	0.0183487      	0.0854224      	7.34501e-10    	10             	3.57338e-10    	2.48699e-11    	0.000925304    	0.00815134     	2.13406e-05    	9.91071e-06    	1.34298e-05    	5.70989e-06    	7.31178e-05    	0.000236717    	8.65951e-10    	0.00735738     	87             	4.80355e-10    	3.03123e-11    	0.00062533     	9.73316e-06    	2.13406e-05    	9.91071e-06    	1.34298e-05    	5.70989e-06    	7.31178e-05    	9.60507e-21    	1e-20          	1e-20          	1e-20          	4.80355e-10    	3.03123e-11    	0.00062533     	3.94934e-22    	-0.000894859           	-2.86962e-12           	1.01966e-07            	-1.47143e-14           	-0.000467518           	-0.000131151           
20151005       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.93329e-05    	1.42442e-05    	1.49935e-05    	8.02486e-06    	0.00082092     	0.0181303      	0.0854218      	7.34499e-10    	10             	3.50214e-10    	2.47255e-11    	0.000957569    	0.00836967     	2.13631e-05    	9.91071e-06    	1.34522e-05    	5.70989e-06    	7.14825e-05    	0.000236926    	8.65951e-10    	0.00735738     	87             	4.79854e-10    	3.03313e-11    	0.000627029    	9.52388e-06    	2.13631e-05    	9.91071e-06    	1.34522e-05    	5.70989e-06    	7.14825e-05    	9.61356e-21    	1e-20          	1e-20          	1e-20          	4.79854e-10    	3.03313e-11    	0.000627029    	3.86443e-22    	-0.000893712           	-2.95015e-12           	1.09739e-07            	-1.47143e-14           	-0.000454791           	-9.62558e-05           
20151006       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.9355e-06     	1.5e-07        	1e-10          	7.75e-07       	2.83e-05       	3.00643e-05    	1.47205e-05    	1.52403e-05    	8.2941e-06     	0.000860838    	0.0178561      	0.0854211      	7.34497e-10    	10             	3.41768e-10    	2.45317e-11    	0.000997388    	0.0086439      	2.13816e-05    	9.90934e-06    	1.34719e-05    	5.7091e-06     	6.98719e-05    	0.000237133    	8.65951e-10    	0.00735738     	87             	4.79439e-10    	3.03494e-11    	0.000628487    	9.31741e-06    	2.13816e-05    	9.90934e-06    	1.34719e-05    	5.7091e-06     	6.98719e-05    	9.62193e-21    	1e-20          	1e-20          	1e-20          	4.79439e-10    	3.03494e-11    	0.000628487    	3.78065e-22    	-0.000942839           	-3.04936e-12           	1.27373e-07            	-1.47143e-14           	-0.000442596           	-6.59202e-05           
20151007       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.0614e-05     	1.50629e-05    	1.54453e-05    	8.48699e-06    	0.000890581    	0.0176571      	0.0854205      	7.34495e-10    	10             	3.35683e-10    	2.44229e-11    	0.00102913     	0.0088429      	2.14001e-05    	9.90934e-06    	1.34904e-05    	5.7091e-06     	6.83053e-05    	0.000237334    	8.65951e-10    	0.00735737     	87             	4.79026e-10    	3.0365e-11     	0.000629893    	9.11623e-06    	2.14001e-05    	9.90934e-06    	1.34904e-05    	5.7091e-06     	6.83053e-05    	9.6301e-21     	1e-20          	1e-20          	1e-20          	4.79026e-10    	3.0365e-11     	0.000629893    	3.69902e-22    	-0.00102338            	-3.17584e-12           	1.54349e-07            	-1.47143e-14           	-0.0004309             	-3.89014e-05           
20151008       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.11414e-05    	1.53784e-05    	1.5655e-05     	8.66479e-06    	0.000918829    	0.0174722      	0.0854197      	7.34493e-10    	10             	3.30046e-10    	2.43423e-11    	0.00106091     	0.00902783     	2.14167e-05    	9.90934e-06    	1.3507e-05     	5.7091e-06     	6.67721e-05    	0.000237531    	8.65951e-10    	0.00735737     	87             	4.78657e-10    	3.0379e-11     	0.000631153    	8.91901e-06    	2.14167e-05    	9.90934e-06    	1.3507e-05     	5.7091e-06     	6.67721e-05    	9.6381e-21     	1e-20          	1e-20          	1e-20          	4.78657e-10    	3.0379e-11     	0.000631153    	3.61899e-22    	-0.00120677            	-3.26897e-12           	2.04226e-07            	-1.47143e-14           	-0.00041965            	-1.0416e-05            
20151009       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	2.81879e-05    	1.31119e-05    	1.41882e-05    	7.46795e-06    	0.000695256    	0.0190514      	0.0854191      	7.34491e-10    	10             	3.64273e-10    	2.43256e-11    	0.000871169    	0.00744859     	2.15393e-05    	9.95956e-06    	1.35341e-05    	5.73668e-06    	7.39051e-05    	0.000236616    	8.65951e-10    	0.00735737     	87             	4.75947e-10    	3.02686e-11    	0.000636021    	9.83377e-06    	2.32544e-05    	1.07626e-05    	1.37221e-05    	6.17773e-06    	0.000232198    	8.84506e-21    	1e-20          	1e-20          	1e-20          	4.41034e-10    	2.84503e-11    	0.000695905    	1.15494e-21    	-0.000872125           	-3.35656e-12           	1.4036e-07             	-1.47143e-14           	-0.000408826           	1.57536e-05            
