TIME           	H+_SNOW        	Cl-_SNOW       	HCO3-_SNOW     	Ca++_SNOW      	DOC_SNOW       	H+_SURFACE     	Cl-_SURFACE    	HCO3-_SURFACE  	Ca++_SURFACE   	DOC_SURFACE    	H+_UZ          	Cl-_UZ         	HCO3-_UZ       	Ca++_UZ        	DOC_UZ         	X-_UZ          	SOC(s)_UZ      	SOC-lz(s)_UZ   	CO2(*g)_UZ     	OH-_UZ         	CO3--_UZ       	CO2(aq)_UZ     	XDOC_UZ        	H+_LZ          	Cl-_LZ         	HCO3-_LZ       	Ca++_LZ        	DOC_LZ         	X-_LZ          	SOC(s)_LZ      	SOC-lz(s)_LZ   	CO2(*g)_LZ     	OH-_LZ         	CO3--_LZ       	CO2(aq)_LZ     	XDOC_LZ        	H+_riv         	Cl-_riv        	HCO3-_riv      	Ca++_riv       	DOC_riv        	X-_riv         	SOC(s)_riv     	SOC-lz(s)_riv  	CO2(*g)_riv    	OH-_riv        	CO3--_riv      	CO2(aq)_riv    	XDOC_riv       	SOC(s)_rate_UZ         	SOC-lz(s)_rate_UZ      	CO2(*g)_rate_UZ        	SOC(s)_rate_LZ         	SOC-lz(s)_rate_LZ      	CO2(*g)_rate_LZ        
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             
20151001       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.30551e-05    	9.33072e-06    	1.32569e-05    	5.45125e-06    	0.000516174    	0.0205384      	0.0853704      	7.34666e-10    	10             	4.44631e-10    	2.76965e-11    	0.000666875    	0.00596162     	1.48548e-05    	5.68553e-06    	2.15631e-05    	7.96066e-06    	0.000658462    	0.000179854    	8.65951e-10    	0.0073399      	87             	6.90515e-10    	7.00066e-11    	0.000698456    	6.65965e-05    	2.13886e-05    	8.70761e-06    	1.4412e-05     	5.88021e-06    	0.000540497    	7.66904e-21    	1e-20          	1e-20          	1e-20          	4.79303e-10    	3.24596e-11    	0.000672538    	2.33096e-21    	0                      	0                      	0                      	0                      	0                      	0                      
20151002       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.34756e-05    	9.5385e-06     	1.34593e-05    	5.57264e-06    	0.000550428    	0.0202363      	0.0853696      	7.34665e-10    	10             	4.36723e-10    	2.76228e-11    	0.000689317    	0.00626373     	1.49211e-05    	5.68919e-06    	2.15566e-05    	7.9376e-06     	0.000658214    	0.000179872    	8.65951e-10    	0.00733987     	87             	6.87446e-10    	6.96745e-11    	0.000701364    	6.65781e-05    	2.11199e-05    	8.63076e-06    	1.50304e-05    	6.13034e-06    	0.000575846    	7.55388e-21    	1e-20          	1e-20          	1e-20          	4.85461e-10    	3.42915e-11    	0.000692496    	2.44612e-21    	-0.00119549            	-2.02375e-12           	2.60671e-08            	-1.47143e-14           	-0.00357805            	0.00149115             
20151003       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.3924e-05     	9.77385e-06    	1.36606e-05    	5.71013e-06    	0.000590769    	0.0198917      	0.085369       	7.34663e-10    	10             	4.28597e-10    	2.75181e-11    	0.000712888    	0.00660831     	1.49916e-05    	5.69367e-06    	2.15541e-05    	7.91522e-06    	0.000658123    	0.000179879    	8.65951e-10    	0.00733984     	87             	6.84213e-10    	6.93386e-11    	0.000704595    	6.65714e-05    	2.06412e-05    	8.46293e-06    	1.57838e-05    	6.41861e-06    	0.000612409    	7.43835e-21    	1e-20          	1e-20          	1e-20          	4.9678e-10     	3.68545e-11    	0.000710636    	2.56165e-21    	-0.000968975           	-2.14472e-12           	2.9174e-08             	-1.47143e-14           	-0.00358805            	0.00143493             
20151004       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.44018e-05    	1.0028e-05     	1.38715e-05    	5.85863e-06    	0.000631649    	0.0195543      	0.0853683      	7.34662e-10    	10             	4.20267e-10    	2.7404e-11     	0.000738243    	0.00694574     	1.50593e-05    	5.69903e-06    	2.15484e-05    	7.89355e-06    	0.000658188    	0.000179874    	8.65951e-10    	0.00733981     	87             	6.81133e-10    	6.90082e-11    	0.000707595    	6.65762e-05    	1.98763e-05    	8.14888e-06    	1.67338e-05    	6.74196e-06    	0.000643169    	7.34386e-21    	1e-20          	1e-20          	1e-20          	5.15957e-10    	4.05856e-11    	0.000725409    	2.65614e-21    	-0.000953545           	-2.28529e-12           	3.76978e-08            	-1.47143e-14           	-0.00359779            	0.00151399             
20151005       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.49686e-05    	1.03399e-05    	1.41107e-05    	6.04085e-06    	0.000676508    	0.0191969      	0.0853677      	7.3466e-10     	10             	4.10801e-10    	2.72534e-11    	0.000768279    	0.00730308     	1.51251e-05    	5.70547e-06    	2.15402e-05    	7.8727e-06     	0.000658419    	0.000179857    	8.65951e-10    	0.00733978     	87             	6.78168e-10    	6.86815e-11    	0.000710419    	6.65933e-05    	1.87527e-05    	7.63601e-06    	1.79726e-05    	7.10962e-06    	0.000665954    	7.2754e-21     	1e-20          	1e-20          	1e-20          	5.46926e-10    	4.62112e-11    	0.000734994    	2.7246e-21     	-0.000933181           	-2.42569e-12           	4.54889e-08            	-1.47143e-14           	-0.00360738            	0.00158404             
20151006       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.9355e-06     	1.5e-07        	1e-10          	7.75e-07       	2.83e-05       	2.56569e-05    	1.07268e-05    	1.43879e-05    	6.26778e-06    	0.000727637    	0.0188052      	0.0853671      	7.34659e-10    	10             	3.99864e-10    	2.70548e-11    	0.0008048      	0.00769476     	1.51873e-05    	5.71325e-06    	2.15274e-05    	7.85281e-06    	0.000658836    	0.000179826    	8.65951e-10    	0.00733975     	87             	6.75391e-10    	6.83594e-11    	0.000712914    	6.66241e-05    	1.7188e-05     	6.83736e-06    	1.958e-05      	7.49743e-06    	0.000674262    	7.25076e-21    	1e-20          	1e-20          	1e-20          	5.96759e-10    	5.49355e-11    	0.000733862    	2.74924e-21    	-0.000967455           	-2.57742e-12           	5.80602e-08            	-1.47143e-14           	-0.00361695            	0.00169724             
20151007       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.61851e-05    	1.10087e-05    	1.462e-05      	6.43246e-06    	0.000768735    	0.0185018      	0.0853664      	7.34657e-10    	10             	3.9186e-10     	2.69452e-11    	0.000834484    	0.0079982      	1.52489e-05    	5.72644e-06    	2.15184e-05    	7.83976e-06    	0.000659928    	0.000179745    	8.65951e-10    	0.00733972     	87             	6.72661e-10    	6.80548e-11    	0.00071551     	6.67046e-05    	1.52489e-05    	5.72644e-06    	2.15184e-05    	7.83976e-06    	0.000659928    	7.29338e-21    	1e-20          	1e-20          	1e-20          	6.72661e-10    	6.80548e-11    	0.00071551     	2.70662e-21    	-0.00103478            	-2.74747e-12           	7.63096e-08            	-1.47143e-14           	-0.00362666            	0.00183792             
20151008       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.66504e-05    	1.12393e-05    	1.48431e-05    	6.56722e-06    	0.000804131    	0.0182482      	0.0853656      	7.34655e-10    	10             	3.8507e-10     	2.68859e-11    	0.000862155    	0.0082518      	1.52739e-05    	5.72644e-06    	2.15434e-05    	7.83976e-06    	0.000661576    	0.000179624    	8.65951e-10    	0.00733969     	87             	6.71564e-10    	6.80231e-11    	0.00071751     	6.6826e-05     	1.52739e-05    	5.72644e-06    	2.15434e-05    	7.83976e-06    	0.000661576    	7.28846e-21    	1e-20          	1e-20          	1e-20          	6.71564e-10    	6.80231e-11    	0.00071751     	2.71154e-21    	-0.00120601            	-2.88196e-12           	1.05601e-07            	-1.47143e-14           	-0.00363587            	0.00206113             
20151009       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	2.39215e-05    	9.47185e-06    	1.32197e-05    	5.60137e-06    	0.000592872    	0.019874       	0.085365       	7.34653e-10    	10             	4.28593e-10    	2.66266e-11    	0.000689887    	0.00662595     	1.53232e-05    	5.72961e-06    	2.15205e-05    	7.81765e-06    	0.000661526    	0.000179628    	8.65951e-10    	0.00733966     	87             	6.69401e-10    	6.77314e-11    	0.000719063    	6.68223e-05    	2.01072e-05    	8.01171e-06    	1.5999e-05     	6.46611e-06    	0.000619659    	7.41586e-21    	1e-20          	1e-20          	1e-20          	5.09946e-10    	3.83449e-11    	0.00070173     	2.58414e-21    	-0.000871573           	-2.99627e-12           	7.60139e-08            	-1.47143e-14           	-0.00362909            	0.00182547             
