TIME           	H+_SNOW        	Cl-_SNOW       	HCO3-_SNOW     	Ca++_SNOW      	DOC_SNOW       	H+_SURFACE     	Cl-_SURFACE    	HCO3-_SURFACE  	Ca++_SURFACE   	DOC_SURFACE    	H+_UZ          	Cl-_UZ         	HCO3-_UZ       	Ca++_UZ        	DOC_UZ         	X-_UZ          	SOC(s)_UZ      	CO2(*g)_UZ     	OH-_UZ         	CO3--_UZ       	CO2(aq)_UZ     	XDOC_UZ        	H+_LZ          	Cl-_LZ         	HCO3-_LZ       	Ca++_LZ        	DOC_LZ         	X-_LZ          	SOC(s)_LZ      	CO2(*g)_LZ     	OH-_LZ         	CO3--_LZ       	CO2(aq)_LZ     	XDOC_LZ        	H+_riv         	Cl-_riv        	HCO3-_riv      	Ca++_riv       	DOC_riv        	X-_riv         	SOC(s)_riv     	CO2(*g)_riv    	OH-_riv        	CO3--_riv      	CO2(aq)_riv    	XDOC_riv       	SOC(s)_rate_UZ         	CO2(*g)_rate_UZ        	SOC(s)_rate_LZ         	CO2(*g)_rate_LZ        
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             
20151001       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.58233e-05    	1.17486e-05    	1.39223e-05    	6.66301e-06    	0.000630167    	0.0195663      	0.0853947      	10             	3.97372e-10    	2.60217e-11    	0.00078364     	0.00693371     	5.01121e-06    	1.0586e-05     	5.75608e-05    	3.09578e-05    	0.000483928    	0.000193729    	8.65951e-10    	87             	2.0649e-09     	5.63779e-10    	0.000623495    	5.27206e-05    	1.9124e-05     	1.15498e-05    	1.82405e-05    	1.0816e-05     	0.000605169    	7.46094e-21    	1e-20          	1e-20          	5.37237e-10    	4.61497e-11    	0.000759406    	2.53906e-21    	0                      	0                      	0                      	0                      
20151002       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.62216e-05    	1.19663e-05    	1.41e-05       	6.78651e-06    	0.000663102    	0.0193023      	0.0853939      	10             	3.91383e-10    	2.59597e-11    	0.000805786    	0.00719767     	5.04022e-06    	1.0591e-05     	5.73532e-05    	3.08694e-05    	0.000484439    	0.000193686    	8.65951e-10    	87             	2.05295e-09    	5.58478e-10    	0.000624861    	5.27643e-05    	1.73021e-05    	1.1642e-05     	2.03758e-05    	1.24657e-05    	0.00062097     	7.41181e-21    	1e-20          	1e-20          	5.9415e-10     	5.70465e-11    	0.000767045    	2.58819e-21    	-0.00115297            	9.40821e-08            	-1.47143e-14           	-0.000152776           
20151003       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.6646e-05     	1.22122e-05    	1.42754e-05    	6.92595e-06    	0.000703854    	0.0189854      	0.0853933      	10             	3.85198e-10    	2.58706e-11    	0.000828909    	0.00751457     	5.0688e-06     	1.0597e-05     	5.71454e-05    	3.07819e-05    	0.000485092    	0.00019363     	8.65951e-10    	87             	2.04131e-09    	5.53285e-10    	0.000626147    	5.28203e-05    	1.50881e-05    	1.16932e-05    	2.34242e-05    	1.45906e-05    	0.000633568    	7.37309e-21    	1e-20          	1e-20          	6.81844e-10    	7.53169e-11    	0.000768389    	2.62691e-21    	-0.000942337           	7.87317e-08            	-1.47143e-14           	-0.000115471           
20151004       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.70937e-05    	1.24741e-05    	1.44578e-05    	7.0745e-06     	0.000745073    	0.0186753      	0.0853927      	10             	3.78883e-10    	2.5775e-11     	0.00085349     	0.00782471     	5.09744e-06    	1.06038e-05    	5.69381e-05    	3.06954e-05    	0.000485889    	0.000193562    	8.65951e-10    	87             	2.02978e-09    	5.48146e-10    	0.000627419    	5.28884e-05    	1.25472e-05    	1.16622e-05    	2.79001e-05    	1.7328e-05     	0.000632565    	7.37616e-21    	1e-20          	1e-20          	8.20714e-10    	1.08084e-10    	0.000760354    	2.62384e-21    	-0.000934166           	8.45617e-08            	-1.47143e-14           	-9.21614e-05           
20151005       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.76325e-05    	1.28004e-05    	1.46661e-05    	7.25955e-06    	0.000791069    	0.018341       	0.0853921      	10             	3.71555e-10    	2.56448e-11    	0.000882861    	0.00815903     	5.12629e-06    	1.06118e-05    	5.67309e-05    	3.06101e-05    	0.000486843    	0.00019348     	8.65951e-10    	87             	2.0183e-09     	5.43047e-10    	0.000628692    	5.29699e-05    	9.8585e-06     	1.15235e-05    	3.45658e-05    	2.08831e-05    	0.000613572    	7.43473e-21    	1e-20          	1e-20          	1.04588e-09    	1.70864e-10    	0.000739212    	2.56527e-21    	-0.000920148           	8.9627e-08             	-1.47143e-14           	-6.82991e-05           
20151006       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.9355e-06     	1.5e-07        	1e-10          	7.75e-07       	2.83e-05       	2.82996e-05    	1.3213e-05     	1.49103e-05    	7.49447e-06    	0.000844723    	0.0179658      	0.0853914      	10             	3.62868e-10    	2.54674e-11    	0.000919052    	0.0085342      	5.15558e-06    	1.06213e-05    	5.65238e-05    	3.0526e-05     	0.000487978    	0.000193383    	8.65951e-10    	87             	2.00678e-09    	5.37959e-10    	0.000629994    	5.30668e-05    	7.29859e-06    	1.12024e-05    	4.41478e-05    	2.5362e-05     	0.000567965    	7.57925e-21    	1e-20          	1e-20          	1.41498e-09    	2.95723e-10    	0.00069785     	2.42075e-21    	-0.000959343           	1.03008e-07            	-1.47143e-14           	-4.52502e-05           
20151007       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.88158e-05    	1.35173e-05    	1.51183e-05    	7.66702e-06    	0.000888977    	0.0176677      	0.0853908      	10             	3.56421e-10    	2.53676e-11    	0.000948725    	0.00883228     	5.18088e-06    	1.06303e-05    	5.63468e-05    	3.04549e-05    	0.000489094    	0.000193288    	8.65951e-10    	87             	1.99693e-09    	5.3363e-10     	0.000631118    	5.3162e-05     	5.18088e-06    	1.06303e-05    	5.63468e-05    	3.04549e-05    	0.000489094    	7.84289e-21    	1e-20          	1e-20          	1.99693e-09    	5.3363e-10     	0.000631118    	2.15711e-21    	-0.00103106            	1.24114e-07            	-1.47143e-14           	-2.01635e-05           
20151008       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.93174e-05    	1.38004e-05    	1.53329e-05    	7.82765e-06    	0.000929328    	0.0174044      	0.08539        	10             	3.50372e-10    	2.52948e-11    	0.000978809    	0.00909558     	5.18076e-06    	1.06303e-05    	5.63467e-05    	3.04549e-05    	0.000489217    	0.000193278    	8.65951e-10    	87             	1.99698e-09    	5.33641e-10    	0.000631102    	5.31725e-05    	5.18076e-06    	1.06303e-05    	5.63467e-05    	3.04549e-05    	0.000489217    	7.84246e-21    	1e-20          	1e-20          	1.99698e-09    	5.33641e-10    	0.000631102    	2.15754e-21    	-0.00120635            	1.63485e-07            	-1.47143e-14           	3.82499e-06            
20151009       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	2.66292e-05    	1.18229e-05    	1.38563e-05    	6.78413e-06    	0.00070262     	0.0189949      	0.0853894      	10             	3.85392e-10    	2.51205e-11    	0.000804169    	0.00750513     	5.20533e-06    	1.06346e-05    	5.61386e-05    	3.03688e-05    	0.000489866    	0.000193222    	8.65951e-10    	87             	1.98749e-09    	5.29129e-10    	0.000631773    	5.32278e-05    	1.33959e-05    	1.13593e-05    	2.54803e-05    	1.59864e-05    	0.000619608    	7.41601e-21    	1e-20          	1e-20          	7.68304e-10    	9.23566e-11    	0.000741778    	2.58399e-21    	-0.000871822           	1.13781e-07            	-1.47143e-14           	2.99451e-06            
