TIME           	H+_SNOW        	Cl-_SNOW       	HCO3-_SNOW     	Ca++_SNOW      	DOC_SNOW       	H+_SURFACE     	Cl-_SURFACE    	HCO3-_SURFACE  	Ca++_SURFACE   	DOC_SURFACE    	H+_UZ          	Cl-_UZ         	HCO3-_UZ       	Ca++_UZ        	DOC_UZ         	X-_UZ          	SOC(s)_UZ      	CO2(*g)_UZ     	OH-_UZ         	CO3--_UZ       	CO2(aq)_UZ     	XDOC_UZ        	H+_LZ          	Cl-_LZ         	HCO3-_LZ       	Ca++_LZ        	DOC_LZ         	X-_LZ          	SOC(s)_LZ      	CO2(*g)_LZ     	OH-_LZ         	CO3--_LZ       	CO2(aq)_LZ     	XDOC_LZ        	H+_riv         	Cl-_riv        	HCO3-_riv      	Ca++_riv       	DOC_riv        	X-_riv         	SOC(s)_riv     	CO2(*g)_riv    	OH-_riv        	CO3--_riv      	CO2(aq)_riv    	XDOC_riv       	SOC(s)_rate_UZ         	CO2(*g)_rate_UZ        	SOC(s)_rate_LZ         	CO2(*g)_rate_LZ        
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             
20151001       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.30551e-05    	9.33072e-06    	1.32569e-05    	5.45125e-06    	0.000516174    	0.0205384      	0.0853704      	10             	4.44631e-10    	2.76965e-11    	0.000666875    	0.00596162     	1.38107e-05    	5.68553e-06    	2.05189e-05    	7.96066e-06    	0.000315917    	0.000209272    	8.65951e-10    	87             	7.42571e-10    	7.16244e-11    	0.000618041    	3.7178e-05     	2.12114e-05    	8.70761e-06    	1.42349e-05    	5.88021e-06    	0.000481942    	7.86772e-21    	1e-20          	1e-20          	4.83289e-10    	3.2326e-11     	0.000658791    	2.13228e-21    	0                      	0                      	0                      	0                      
20151002       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.34756e-05    	9.5385e-06     	1.34593e-05    	5.57264e-06    	0.000550428    	0.0202363      	0.0853696      	10             	4.36723e-10    	2.76228e-11    	0.000689317    	0.00626373     	1.3843e-05     	5.68919e-06    	2.04785e-05    	7.9376e-06     	0.000316073    	0.000209256    	8.65951e-10    	87             	7.40831e-10    	7.13153e-11    	0.000618273    	3.71935e-05    	2.08692e-05    	8.63076e-06    	1.47797e-05    	6.13034e-06    	0.000495163    	7.82196e-21    	1e-20          	1e-20          	4.91268e-10    	3.41212e-11    	0.000672898    	2.17804e-21    	-0.00119549            	2.60671e-08            	-1.47143e-14           	-0.000264752           
20151003       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.3924e-05     	9.77385e-06    	1.36606e-05    	5.71013e-06    	0.000590769    	0.0198917      	0.085369       	10             	4.28597e-10    	2.75181e-11    	0.000712888    	0.00660831     	1.38753e-05    	5.69367e-06    	2.04378e-05    	7.91522e-06    	0.000316368    	0.000209227    	8.65951e-10    	87             	7.39101e-10    	7.10065e-11    	0.000618488    	3.72231e-05    	2.02889e-05    	8.46293e-06    	1.54315e-05    	6.41861e-06    	0.000502607    	7.79643e-21    	1e-20          	1e-20          	5.05372e-10    	3.66525e-11    	0.000682964    	2.20357e-21    	-0.000968975           	2.9174e-08             	-1.47143e-14           	-0.000240581           
20151004       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.44018e-05    	1.0028e-05     	1.38715e-05    	5.85863e-06    	0.000631649    	0.0195543      	0.0853683      	10             	4.20267e-10    	2.7404e-11     	0.000738243    	0.00694574     	1.39089e-05    	5.69903e-06    	2.0398e-05     	7.89355e-06    	0.000316804    	0.000209183    	8.65951e-10    	87             	7.37306e-10    	7.06957e-11    	0.000618787    	3.72665e-05    	1.9386e-05     	8.14888e-06    	1.62435e-05    	6.74196e-06    	0.00049498     	7.82259e-21    	1e-20          	1e-20          	5.28956e-10    	4.03852e-11    	0.00068685     	2.17741e-21    	-0.000953545           	3.76978e-08            	-1.47143e-14           	-0.000239309           
20151005       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.49686e-05    	1.03399e-05    	1.41107e-05    	6.04085e-06    	0.000676508    	0.0191969      	0.0853677      	10             	4.10801e-10    	2.72534e-11    	0.000768279    	0.00730308     	1.39441e-05    	5.70547e-06    	2.03591e-05    	7.8727e-06     	0.000317389    	0.000209125    	8.65951e-10    	87             	7.3544e-10     	7.03819e-11    	0.000619176    	3.7325e-05     	1.80743e-05    	7.63601e-06    	1.72941e-05    	7.10962e-06    	0.000466984    	7.92013e-21    	1e-20          	1e-20          	5.67382e-10    	4.61239e-11    	0.000681749    	2.07987e-21    	-0.000933181           	4.54889e-08            	-1.47143e-14           	-0.000235412           
20151006       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.9355e-06     	1.5e-07        	1e-10          	7.75e-07       	2.83e-05       	2.56569e-05    	1.07268e-05    	1.43879e-05    	6.26778e-06    	0.000727637    	0.0188052      	0.0853671      	10             	3.99864e-10    	2.70548e-11    	0.0008048      	0.00769476     	1.39815e-05    	5.71325e-06    	2.03216e-05    	7.85281e-06    	0.000318144    	0.00020905     	8.65951e-10    	87             	7.33467e-10    	7.00631e-11    	0.000619695    	3.74003e-05    	1.62611e-05    	6.83736e-06    	1.8653e-05     	7.49743e-06    	0.000409958    	8.12653e-21    	1e-20          	1e-20          	6.30664e-10    	5.52983e-11    	0.000661536    	1.87347e-21    	-0.000967455           	5.80602e-08            	-1.47143e-14           	-0.000236026           
20151007       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.61851e-05    	1.10087e-05    	1.462e-05      	6.43246e-06    	0.000768735    	0.0185018      	0.0853664      	10             	3.9186e-10     	2.69452e-11    	0.000834484    	0.0079982      	1.40253e-05    	5.72644e-06    	2.02947e-05    	7.83976e-06    	0.000319287    	0.000208936    	8.65951e-10    	87             	7.31179e-10    	6.9752e-11     	0.000620812    	3.75142e-05    	1.40253e-05    	5.72644e-06    	2.02947e-05    	7.83976e-06    	0.000319287    	8.47782e-21    	1e-20          	1e-20          	7.31179e-10    	6.9752e-11     	0.000620812    	1.52218e-21    	-0.00103478            	7.63096e-08            	-1.47143e-14           	-0.00023731            
20151008       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.66504e-05    	1.12393e-05    	1.48431e-05    	6.56722e-06    	0.000804131    	0.0182482      	0.0853656      	10             	3.8507e-10     	2.68859e-11    	0.000862155    	0.0082518      	1.40381e-05    	5.72644e-06    	2.03075e-05    	7.83976e-06    	0.000319413    	0.000208923    	8.65951e-10    	87             	7.30511e-10    	6.97326e-11    	0.000621773    	3.75268e-05    	1.40381e-05    	5.72644e-06    	2.03075e-05    	7.83976e-06    	0.000319413    	8.47731e-21    	1e-20          	1e-20          	7.30511e-10    	6.97326e-11    	0.000621773    	1.52269e-21    	-0.00120601            	1.05601e-07            	-1.47143e-14           	-0.000232781           
20151009       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	2.39215e-05    	9.47185e-06    	1.32197e-05    	5.60137e-06    	0.000592872    	0.019874       	0.085365       	10             	4.28593e-10    	2.66266e-11    	0.000689887    	0.00662595     	1.40659e-05    	5.72961e-06    	2.02631e-05    	7.81765e-06    	0.000319716    	0.000208893    	8.65951e-10    	87             	7.29062e-10    	6.94413e-11    	0.000621646    	3.75569e-05    	1.96171e-05    	8.01171e-06    	1.55089e-05    	6.46611e-06    	0.000486292    	7.8526e-21     	1e-20          	1e-20          	5.22635e-10    	3.80916e-11    	0.00066372     	2.1474e-21     	-0.000871573           	7.60139e-08            	-1.47143e-14           	-0.000182548           
