TIME           	H+_SNOW        	Cl-_SNOW       	HCO3-_SNOW     	Ca++_SNOW      	DOC_SNOW       	H+_SURFACE     	Cl-_SURFACE    	HCO3-_SURFACE  	Ca++_SURFACE   	DOC_SURFACE    	H+_UZ          	Cl-_UZ         	HCO3-_UZ       	Ca++_UZ        	DOC_UZ         	X-_UZ          	SOC(s)_UZ      	SOC-lz(s)_UZ   	Calcite(s)_UZ  	Calcite-lz(s)_UZ	CO2(*g)_UZ     	OH-_UZ         	CO3--_UZ       	CO2(aq)_UZ     	XDOC_UZ        	H+_LZ          	Cl-_LZ         	HCO3-_LZ       	Ca++_LZ        	DOC_LZ         	X-_LZ          	SOC(s)_LZ      	SOC-lz(s)_LZ   	Calcite(s)_LZ  	Calcite-lz(s)_LZ	CO2(*g)_LZ     	OH-_LZ         	CO3--_LZ       	CO2(aq)_LZ     	XDOC_LZ        	H+_riv         	Cl-_riv        	HCO3-_riv      	Ca++_riv       	DOC_riv        	X-_riv         	SOC(s)_riv     	SOC-lz(s)_riv  	Calcite(s)_riv 	Calcite-lz(s)_riv	CO2(*g)_riv    	OH-_riv        	CO3--_riv      	CO2(aq)_riv    	XDOC_riv       	SOC(s)_rate_UZ         	SOC-lz(s)_rate_UZ      	Calcite(s)_rate_UZ     	Calcite-lz(s)_rate_UZ  	CO2(*g)_rate_UZ        	SOC(s)_rate_LZ         	SOC-lz(s)_rate_LZ      	Calcite(s)_rate_LZ     	Calcite-lz(s)_rate_LZ  	CO2(*g)_rate_LZ        
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             
20151001       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.41084e-06    	1.17486e-05    	0.00023308     	0.000274617    	0.000630168    	0.019566       	0.0853947      	7.34504e-10    	0.0129532      	2.68909e-09    	10             	7.59557e-09    	8.70114e-09    	0.000686389    	0.00693403     	3.37552e-07    	1.0586e-05     	0.000919639    	0.000757586    	5.32834e-05    	0.000239279    	8.65951e-10    	0.00735885     	2.72603e-09    	0.0406111      	87             	3.29731e-08    	1.54961e-07    	0.000623916    	7.17097e-06    	9.32624e-07    	1.15498e-05    	0.000350174    	0.000357176    	0.000531555    	7.69858e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.15871e-08    	2.01141e-08    	0.00067599     	2.30142e-21    	0                      	0                      	0                      	0                      	0                      	0                      	0                      	0                      	0                      	0                      
20151002       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	9.61798e-07    	1.19663e-05    	0.000331861    	0.000384162    	0.000663089    	0.019302       	0.085394       	7.34502e-10    	0.0129474      	2.68908e-09    	10             	1.12531e-08    	1.8542e-08     	0.000659661    	0.00719801     	3.38781e-07    	1.0591e-05     	0.000918186    	0.000756668    	5.40345e-05    	0.000239181    	8.65951e-10    	0.00735885     	2.72604e-09    	0.0406111      	87             	3.28517e-08    	1.54137e-07    	0.000625233    	7.26907e-06    	6.76067e-07    	1.1642e-05     	0.000470014    	0.000472006    	0.000519463    	7.73905e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.61334e-08    	3.79506e-08    	0.000651668    	2.26095e-21    	-0.00115297            	-2.44833e-12           	-0.00870984            	-2.14595e-11           	2.10951e-08            	-1.47143e-14           	-0.000321639           	1.53257e-09            	-0.000117271           	-0.000135575           
20151003       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	7.9114e-07     	1.22122e-05    	0.000399496    	0.000459184    	0.00070383     	0.0189851      	0.0853933      	7.345e-10      	0.0129439      	2.68906e-09    	10             	1.37616e-08    	2.7463e-08     	0.000649357    	0.00751494     	3.39909e-07    	1.0597e-05     	0.000916855    	0.000755943    	5.48951e-05    	0.000239069    	8.65951e-10    	0.00735885     	2.72606e-09    	0.0406111      	87             	3.27411e-08    	1.53388e-07    	0.000626435    	7.38137e-06    	5.56825e-07    	1.16932e-05    	0.000565652    	0.000554529    	0.000495334    	7.82115e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.97068e-08    	5.61362e-08    	0.00064207     	2.17885e-21    	-0.000942335           	-2.5677e-12            	-0.00534626            	-2.06674e-11           	7.15428e-09            	-1.47143e-14           	-0.000326811           	1.52327e-09            	-9.47153e-05           	-9.97107e-05           
20151004       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	7.21045e-07    	1.24741e-05    	0.000442259    	0.000506756    	0.000745041    	0.0186749      	0.0853927      	7.34499e-10    	0.012942       	2.68905e-09    	10             	1.51519e-08    	3.35939e-08    	0.00065291     	0.0078251      	3.40932e-07    	1.06038e-05    	0.000915708    	0.00075541     	5.58637e-05    	0.000238942    	8.65951e-10    	0.00735884     	2.72607e-09    	0.0406111      	87             	3.26417e-08    	1.52725e-07    	0.000627557    	7.50765e-06    	4.88237e-07    	1.16622e-05    	0.000647731    	0.000614693    	0.000445881    	7.99505e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.25705e-08    	7.39445e-08    	0.000641961    	2.00495e-21    	-0.000934164           	-2.70055e-12           	-0.00287795            	-2.00214e-11           	5.38236e-09            	-1.47143e-14           	-0.000332595           	1.51516e-09            	-9.84052e-05           	-7.77857e-05           
20151005       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.95408e-07    	1.28004e-05    	0.000470564    	0.000538477    	0.000791032    	0.0183406      	0.0853921      	7.34497e-10    	0.0129411      	2.68904e-09    	10             	1.57453e-08    	3.72284e-08    	0.00066852     	0.00815944     	3.41898e-07    	1.06118e-05    	0.000914686    	0.000755005    	5.6953e-05     	0.000238801    	8.65951e-10    	0.00735884     	2.72608e-09    	0.0406111      	87             	3.25485e-08    	1.52115e-07    	0.000628652    	7.6495e-06     	4.37197e-07    	1.15235e-05    	0.000729651    	0.000664807    	0.000362743    	8.30552e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.52937e-08    	9.36841e-08    	0.0006453      	1.69448e-21    	-0.000920146           	-2.83321e-12           	-0.00134764            	-1.95937e-11           	8.34e-09               	-1.47143e-14           	-0.000338987           	1.50833e-09            	-0.000101052           	-5.66143e-05           
20151006       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.9355e-06     	1.5e-07        	1e-10          	7.75e-07       	2.83e-05       	6.93168e-07    	1.3213e-05     	0.000491395    	0.000562098    	0.00084468     	0.0179654      	0.0853914      	7.34495e-10    	0.0129408      	2.68903e-09    	10             	1.58215e-08    	3.91289e-08    	0.000694758    	0.00853463     	3.42812e-07    	1.06213e-05    	0.00091381     	0.00075473     	5.81845e-05    	0.00023864     	8.65951e-10    	0.00735884     	2.72609e-09    	0.0406111      	87             	3.2461e-08     	1.51557e-07    	0.000629741    	7.80965e-06    	3.90149e-07    	1.12024e-05    	0.000819084    	0.000711539    	0.000234527    	8.83465e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.84365e-08    	1.18633e-07    	0.000644342    	1.16535e-21    	-0.000959341           	-2.97984e-12           	-0.000436462           	-1.93317e-11           	1.60538e-08            	-1.47143e-14           	-0.000346069           	1.50229e-09            	-0.000112007           	-3.68482e-05           
20151007       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	7.04731e-07    	1.35173e-05    	0.000501192    	0.000573374    	0.000888931    	0.0176673      	0.0853908      	7.34493e-10    	0.0129408      	2.68901e-09    	10             	1.55735e-08    	3.93139e-08    	0.000719892    	0.00883273     	3.43554e-07    	1.06303e-05    	0.000913294    	0.000754659    	5.91413e-05    	0.000238516    	8.65951e-10    	0.00735883     	2.72611e-09    	0.0406111      	87             	3.23906e-08    	1.51142e-07    	0.000630753    	7.93395e-06    	3.43554e-07    	1.06303e-05    	0.000913294    	0.000754659    	5.91413e-05    	9.67807e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.23906e-08    	1.51142e-07    	0.000630753    	3.21929e-22    	-0.00103106            	-3.14905e-12           	0.000111825            	-1.91741e-11           	2.90621e-08            	-1.47143e-14           	-0.000353973           	1.49707e-09            	-0.000129658           	-1.6127e-05            
20151008       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	7.22122e-07    	1.38004e-05    	0.000507812    	0.000581111    	0.00092928     	0.017404       	0.08539        	7.3449e-10     	0.012941       	2.689e-09      	10             	1.52062e-08    	3.8914e-08     	0.000747021    	0.00909605     	3.43502e-07    	1.06303e-05    	0.000914275    	0.00075529     	5.7809e-05     	0.000238689    	8.65951e-10    	0.00735883     	2.72612e-09    	0.0406111      	87             	3.23968e-08    	1.51339e-07    	0.000631311    	7.76084e-06    	3.43502e-07    	1.06303e-05    	0.000914275    	0.00075529     	5.7809e-05     	9.68509e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.23968e-08    	1.51339e-07    	0.000631311    	3.14905e-22    	-0.00120635            	-3.28295e-12           	0.000278236            	-1.91339e-11           	4.81482e-08            	-1.47143e-14           	-0.000359988           	1.4936e-09             	-0.000165448           	4.63501e-06            
20151009       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	7.36461e-07    	1.18229e-05    	0.000409665    	0.000470738    	0.000702595    	0.0189945      	0.0853894      	7.34488e-10    	0.0129413      	2.68899e-09    	10             	1.47959e-08    	3.03051e-08    	0.000619339    	0.0075055      	3.44262e-07    	1.06346e-05    	0.000913089    	0.000754673    	5.85618e-05    	0.000238591    	8.65951e-10    	0.00735883     	2.72613e-09    	0.0406111      	87             	3.23239e-08    	1.50797e-07    	0.000631913    	7.85868e-06    	5.06341e-07    	1.13593e-05    	0.000606035    	0.000581523    	0.000451307    	7.9756e-21     	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.17145e-08    	6.64058e-08    	0.000624311    	2.0244e-21     	-0.000871821           	-3.38943e-12           	0.000345015            	-1.91264e-11           	3.9214e-08             	-1.47143e-14           	-0.000351006           	1.49708e-09            	-0.000109847           	1.64817e-05            
