TIME           	H+_SNOW        	Cl-_SNOW       	HCO3-_SNOW     	Ca++_SNOW      	DOC_SNOW       	H+_SURFACE     	Cl-_SURFACE    	HCO3-_SURFACE  	Ca++_SURFACE   	DOC_SURFACE    	H+_UZ          	Cl-_UZ         	HCO3-_UZ       	Ca++_UZ        	DOC_UZ         	X-_UZ          	SOC(s)_UZ      	SOC-lz(s)_UZ   	Calcite(s)_UZ  	Calcite-lz(s)_UZ	CO2(*g)_UZ     	OH-_UZ         	CO3--_UZ       	CO2(aq)_UZ     	XDOC_UZ        	H+_LZ          	Cl-_LZ         	HCO3-_LZ       	Ca++_LZ        	DOC_LZ         	X-_LZ          	SOC(s)_LZ      	SOC-lz(s)_LZ   	Calcite(s)_LZ  	Calcite-lz(s)_LZ	CO2(*g)_LZ     	OH-_LZ         	CO3--_LZ       	CO2(aq)_LZ     	XDOC_LZ        	H+_riv         	Cl-_riv        	HCO3-_riv      	Ca++_riv       	DOC_riv        	X-_riv         	SOC(s)_riv     	SOC-lz(s)_riv  	Calcite(s)_riv 	Calcite-lz(s)_riv	CO2(*g)_riv    	OH-_riv        	CO3--_riv      	CO2(aq)_riv    	XDOC_riv       	SOC(s)_rate_UZ         	SOC-lz(s)_rate_UZ      	Calcite(s)_rate_UZ     	Calcite-lz(s)_rate_UZ  	CO2(*g)_rate_UZ        	SOC(s)_rate_LZ         	SOC-lz(s)_rate_LZ      	Calcite(s)_rate_LZ     	Calcite-lz(s)_rate_LZ  	CO2(*g)_rate_LZ        
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             
20151001       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.28408e-06    	9.33072e-06    	0.000214794    	0.000251118    	0.000516176    	0.0205381      	0.0853704      	7.34654e-10    	0.0128528      	2.68926e-09    	10             	8.32534e-09    	8.76739e-09    	0.000577091    	0.00596189     	4.07623e-07    	5.68553e-06    	0.000742327    	0.000588999    	4.30068e-05    	0.00024063     	8.65951e-10    	0.00735913     	2.71582e-09    	0.0406103      	87             	2.70293e-08    	1.01466e-07    	0.000614349    	5.82036e-06    	9.21181e-07    	8.70761e-06    	0.000304772    	0.000308876    	0.000435292    	8.03341e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.16799e-08    	1.75676e-08    	0.000583666    	1.96659e-21    	0                      	0                      	0                      	0                      	0                      	0                      	0                      	0                      	0                      	0                      
20151002       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	8.40399e-07    	9.5385e-06     	0.000315844    	0.000363153    	0.000550418    	0.020236       	0.0853696      	7.34652e-10    	0.0128466      	2.68924e-09    	10             	1.28559e-08    	2.01242e-08    	0.000549546    	0.00626402     	4.08891e-07    	5.68919e-06    	0.000740395    	0.000587729    	4.35685e-05    	0.000240555    	8.65951e-10    	0.00735913     	2.71582e-09    	0.0406103      	87             	2.69431e-08    	1.0087e-07     	0.000614711    	5.89456e-06    	6.59569e-07    	8.63076e-06    	0.000415892    	0.000416112    	0.000430894    	8.04937e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.64657e-08    	3.41204e-08    	0.000564987    	1.95063e-21    	-0.00119549            	-2.0568e-12            	-0.00925595            	-2.14795e-11           	-4.92326e-08           	-1.47143e-14           	-0.000262904           	6.3542e-10             	-0.000162055           	-0.000335394           
20151003       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.81517e-07    	9.77385e-06    	0.000384503    	0.000439288    	0.000590749    	0.0198914      	0.085369       	7.34651e-10    	0.0128429      	2.68923e-09    	10             	1.59512e-08    	3.05905e-08    	0.000539196    	0.00660864     	4.10076e-07    	5.69367e-06    	0.000738542    	0.000586626    	4.42403e-05    	0.000240467    	8.65951e-10    	0.00735913     	2.71583e-09    	0.0406103      	87             	2.68631e-08    	1.0031e-07     	0.000614999    	5.98324e-06    	5.52267e-07    	8.46293e-06    	0.000498217    	0.000486626    	0.000415162    	8.10708e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.97743e-08    	4.93683e-08    	0.000563589    	1.89292e-21    	-0.000968973           	-2.18261e-12           	-0.00551937            	-2.06193e-11           	-4.46096e-08           	-1.47143e-14           	-0.000267143           	6.27668e-10            	-0.000130729           	-0.000302502           
20151004       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.20258e-07    	1.0028e-05     	0.000427366    	0.000486964    	0.000631622    	0.0195539      	0.0853683      	7.34649e-10    	0.012841       	2.68921e-09    	10             	1.75891e-08    	3.76295e-08    	0.0005435      	0.00694608     	4.11164e-07    	5.69903e-06    	0.000736888    	0.000585721    	4.50205e-05    	0.000240364    	8.65951e-10    	0.00735912     	2.71583e-09    	0.0406103      	87             	2.67902e-08    	9.98069e-08    	0.000615291    	6.08615e-06    	5.01168e-07    	8.14888e-06    	0.000561701    	0.000529833    	0.000376988    	8.25067e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.18636e-08    	6.17523e-08    	0.000574689    	1.74933e-21    	-0.000953543           	-2.31905e-12           	-0.00282596            	-1.9917e-11            	-4.2963e-08            	-1.47143e-14           	-0.000271997           	6.20633e-10            	-0.0001357             	-0.000300582           
20151005       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.0083e-07     	1.03399e-05    	0.000455505    	0.00051849     	0.000676476    	0.0191966      	0.0853677      	7.34648e-10    	0.0128402      	2.6892e-09     	10             	1.81987e-08    	4.15931e-08    	0.000559884    	0.00730344     	4.12218e-07    	5.70547e-06    	0.000735368    	0.000584951    	4.59186e-05    	0.000240245    	8.65951e-10    	0.00735912     	2.71584e-09    	0.0406103      	87             	2.67201e-08    	9.93345e-08    	0.000615632    	6.2045e-06     	4.70046e-07    	7.63601e-06    	0.000618771    	0.000557265    	0.000308585    	8.52113e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.33639e-08    	7.28641e-08    	0.000592428    	1.47887e-21    	-0.00093318            	-2.45529e-12           	-0.00121127            	-1.94627e-11           	-3.61684e-08           	-1.47143e-14           	-0.000277465           	6.14536e-10            	-0.000139255           	-0.000297258           
20151006       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.9355e-06     	1.5e-07        	1e-10          	7.75e-07       	2.83e-05       	6.02943e-07    	1.07268e-05    	0.000476266    	0.000542008    	0.000727601    	0.0188048      	0.0853671      	7.34646e-10    	0.01284        	2.68919e-09    	10             	1.81644e-08    	4.34797e-08    	0.00058651     	0.00769516     	4.1324e-07     	5.71325e-06    	0.000734021    	0.000584326    	4.69511e-05    	0.00024011     	8.65951e-10    	0.00735912     	2.71584e-09    	0.0406103      	87             	2.66528e-08    	9.88976e-08    	0.000616057    	6.34042e-06    	4.43206e-07    	6.83736e-06    	0.00067622     	0.000574838    	0.000199561    	8.99089e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.48204e-08    	8.4739e-08     	0.000609443    	1.00911e-21    	-0.000967453           	-2.60318e-12           	-0.000288894           	-1.91946e-11           	-2.81508e-08           	-1.47143e-14           	-0.000283613           	6.09015e-10            	-0.000154267           	-0.000301313           
20151007       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.17596e-07    	1.10087e-05    	0.000485491    	0.000552629    	0.000768696    	0.0185014      	0.0853664      	7.34644e-10    	0.0128402      	2.68918e-09    	10             	1.77463e-08    	4.33336e-08    	0.00061196     	0.00799861     	4.14223e-07    	5.72644e-06    	0.000733428    	0.00058429     	4.81199e-05    	0.000239956    	8.65951e-10    	0.00735912     	2.71585e-09    	0.0406103      	87             	2.65892e-08    	9.85813e-08    	0.00061703     	6.4941e-06     	4.14223e-07    	5.72644e-06    	0.000733428    	0.00058429     	4.81199e-05    	9.73649e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.65892e-08    	9.85813e-08    	0.00061703     	2.63506e-22    	-0.00103478            	-2.7699e-12            	0.000243411            	-1.90404e-11           	-1.68958e-08           	-1.47143e-14           	-0.000290548           	6.04137e-10            	-0.000178506           	-0.000308518           
20151008       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.36952e-07    	1.12393e-05    	0.000490536    	0.000558557    	0.00080409     	0.0182478      	0.0853656      	7.34642e-10    	0.0128404      	2.68916e-09    	10             	1.72138e-08    	4.24877e-08    	0.000637445    	0.00825222     	4.14518e-07    	5.72644e-06    	0.000734762    	0.000585147    	4.70391e-05    	0.000240098    	8.65951e-10    	0.00735912     	2.71585e-09    	0.0406103      	87             	2.6572e-08     	9.87026e-08    	0.000618554    	6.352e-06      	4.14518e-07    	5.72644e-06    	0.000734762    	0.000585147    	4.70391e-05    	9.74226e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.6572e-08     	9.87026e-08    	0.000618554    	2.5774e-22     	-0.00120601            	-2.90121e-12           	0.000367738            	-1.90157e-11           	-6.37357e-09           	-1.47143e-14           	-0.000298033           	6.01657e-10            	-0.000227664           	-0.000315014           
20151009       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	6.51784e-07    	9.47185e-06    	0.000384684    	0.000439897    	0.000592852    	0.0198737      	0.085365       	7.3464e-10     	0.0128407      	2.68915e-09    	10             	1.66794e-08    	3.20033e-08    	0.000515896    	0.00662628     	4.15398e-07    	5.72961e-06    	0.000733069    	0.000584143    	4.76144e-05    	0.000240022    	8.65951e-10    	0.00735911     	2.71586e-09    	0.0406103      	87             	2.65137e-08    	9.82519e-08    	0.000618485    	6.42767e-06    	5.21835e-07    	8.01171e-06    	0.000520584    	0.000496178    	0.000380112    	8.23874e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.09457e-08    	5.46894e-08    	0.000555959    	1.76126e-21    	-0.000871572           	-2.99675e-12           	0.000375838            	-1.90303e-11           	3.77565e-09            	-1.47143e-14           	-0.000290219           	6.04728e-10            	-0.000151072           	-0.000240613           
