Sleepers			
date	Prec.	Temp	Qobs
19911001	7.4	8.05	0.602
19911002	0.3	15	0.659
19911003	5.6	15.85	0.749
19911004	0	14.75	0.837
19911005	0.3	14.3	0.618
19911006	65.5	8.8	7.981
19911007	0.5	2.8	2.843
19911008	0	3.9	1.753
19911009	1.8	9.6	1.432
19911010	8.1	12.6	1.447
19911011	4.3	6.2	1.783
19911012	14.2	3	3.542
19911013	0.8	0.85	2.095
19911014	0	3.3	1.667
19911015	4.8	4.65	1.524
19911016	17.5	6.05	3.49
19911017	0.5	8.1	2.125
19911018	5.8	12.35	2.216
19911019	3	6.05	2.015
19911020	0	-0.85	1.813
19911021	0	2.1	1.609
19911022	0	6.7	1.489
19911023	0	8.15	1.42
19911024	0	12.25	1.376
19911025	0	14.25	1.322
19911026	0	15.25	1.262
19911027	8.9	11.65	1.443
19911028	0.3	1.4	1.714
19911029	0	1.15	1.361
19911030	0	5.3	1.223
19911031	0	6.75	1.143
19911101	2.3	9.45	1.125
19911102	0	8.25	1.143
19911103	0	4.25	1.051
19911104	0	-0.6	0.996
19911105	0	-2.35	0.961
19911106	0	-0.75	0.931
19911107	0.8	0.25	0.908
19911108	0	-5.15	0.864
19911109	0	-4.7	0.819
19911110	0	-1.9	0.812
19911111	14.7	0.5	1.834
19911112	0	-2.2	1.374
19911113	0	-1.1	1.112
19911114	1.5	0.55	1.111
19911115	8.9	1.7	1.855
19911116	1	0.6	2.439
19911117	0	-4.85	1.479
19911118	0	-2.6	1.264
19911119	0	4.55	1.283
19911120	2	12.95	1.291
19911121	2	5.95	1.543
19911122	7.4	3.45	1.377
19911123	5.1	5.75	2.81
19911124	4.8	2.3	1.902
19911125	5.1	-3	1.76
19911126	2	-6.15	1.554
19911127	0	-6.75	1.434
19911128	0	-1.35	1.367
19911129	0	-0.9	1.332
19911130	0	3	1.512
19911201	0	4.2	2.019
19911202	0.3	-3.45	1.547
19911203	13.7	-5.65	1.54
19911204	2	-8.15	1.353
19911205	0.5	-17.5	1.217
19911206	3	-11.6	1.186
19911207	9.7	-8.45	1.18
19911208	1	-0.1	1.167
19911209	6.9	2.25	2.378
19911210	0	-3.85	1.734
19911211	0	-1.85	1.38
19911212	0	-1.15	1.258
19911213	2	3.6	1.895
19911214	6.4	1.35	2.48
19911215	4.6	-8.05	2.129
19911216	0.5	-17.45	1.716
19911217	4.3	-18.7	1.478
19911218	1	-15.15	1.324
19911219	0	-16.5	1.301
19911220	0	-8.4	1.301
19911221	18.8	-4.2	1.301
19911222	0	-8.3	1.301
19911223	1	-4.8	1.301
19911224	0	-11.85	1.301
19911225	0	-18.75	1.301
19911226	0	-14.15	1.293
19911227	1.5	-8.8	1.191
19911228	0	-7.55	1.184
19911229	14.2	-3.05	1.296
19911230	0	-7.8	2.522
19911231	0	-10.65	1.292
19920101	0	-6.35	1.033
19920102	0.8	-5.5	1.114
19920103	0	-3.3	1.066
19920104	3.3	-1.6	1.09
19920105	0.5	1	1.183
19920106	0.5	-1.15	1.077
19920107	2.5	-5.75	1.048
19920108	0.5	-13	1.011
19920109	2	-8.8	0.857
19920110	1.8	-6.1	0.767
19920111	0.8	-17.3	0.655
19920112	0	-16.2	0.658
19920113	0	-4.9	0.537
19920114	37.6	-3.55	3.083
19920115	0.8	-17.45	2.295
19920116	0.3	-25.4	2.088
19920117	2	-21.5	1.879
19920118	1.8	-18.7	1.705
19920119	0.5	-22.65	1.275
19920120	0.5	-16	0.923
19920121	0.3	-16.05	0.606
19920122	0	-16.6	0.542
19920123	24.9	-4.35	1.202
19920124	3.8	-8.5	3.568
19920125	0.3	-22.85	1.807
19920126	0	-17.75	1.407
19920127	1	-17.1	1.157
19920128	0.3	-10.85	0.947
19920129	0	-5.25	1.122
19920130	1	-2.3	1.09
19920131	2	-4.55	0.988
19920201	1	-11.6	0.952
19920202	0	-16	1.056
19920203	0	-14.1	0.884
19920204	6.6	-11.65	0.964
19920205	2	-14.25	0.834
19920206	0	-16.4	0.786
19920207	0	-10.25	0.81
19920208	3.3	-5.7	0.825
19920209	1.5	-15.1	0.799
19920210	0	-19.6	0.826
19920211	2	-10.15	0.826
19920212	0	-23.35	0.832
19920213	0	-15.45	0.745
19920214	0	-8.15	0.69
19920215	30.5	-8.4	0.629
19920216	5.3	-2.2	0.621
19920217	0	-2.9	0.626
19920218	1	-0.55	0.632
19920219	7.4	1.7	1.422
19920220	1.5	-2.65	1.002
19920221	5.1	-6.6	0.785
19920222	1	-8.35	0.717
19920223	1	-7.4	0.66
19920224	0	-7.75	0.637
19920225	5.6	-4.45	0.647
19920226	0.8	-4	0.745
19920227	9.7	-6.45	0.679
19920228	11.4	-11.5	0.594
19920229	0.8	-15.35	0.54
19920301	2.8	-16.25	0.459
19920302	0	-15.3	0.422
19920303	0.5	-6.25	0.449
19920304	0	-6.75	0.458
19920305	0	-1.2	0.456
19920306	0	-3	0.437
19920307	9.7	-0.9	0.488
19920308	0	2.6	0.695
19920309	0	2.15	0.741
19920310	4.1	3.15	1.132
19920311	23.6	-0.6	7.908
19920312	10.4	-11.95	4.277
19920313	2	-14.2	3.457
19920314	0.8	-13.75	3.3
19920315	1	-16.85	3.179
19920316	1.8	-13.85	2.663
19920317	5.8	-7.55	1.636
19920318	0.5	-11.9	1.438
19920319	0.3	-6.85	1.381
19920320	0.3	-6.6	1.324
19920321	0	-9.75	1.241
19920322	0	-11.1	1.22
19920323	0.5	-9.1	1.152
19920324	0.8	-8.55	1.132
19920325	0.5	-4.3	1.101
19920326	1.8	1.7	1.116
19920327	4.8	3.65	1.821
19920328	24.9	-1	3.203
19920329	3.3	-3.1	2.463
19920330	0	-1.65	1.966
19920331	0.8	0.35	1.859
19920401	3.3	0.2	1.783
19920402	0	-0.4	1.735
19920403	0.5	-3.8	1.627
19920404	0.5	-2.9	1.582
19920405	1	-1.55	1.558
19920406	0	1	1.525
19920407	1	4	1.712
19920408	0	1.3	2.979
19920409	0	2.55	3.283
19920410	0	3.35	3.519
19920411	33.3	-2.2	4.301
19920412	3	-2.15	3.112
19920413	0	-6.3	2.581
19920414	0	-3.85	2.439
19920415	0	-3.1	2.373
19920416	6.6	-0.8	2.32
19920417	11.9	-0.1	2.279
19920418	0	2.45	2.162
19920419	0	5.5	3.519
19920420	0.3	7.1	6.376
19920421	1	8.4	13.936
19920422	6.4	6.2	22.135
19920423	3	5.5	22.491
19920424	20.1	2.85	21.794
19920425	0.5	4	15.635
19920426	0.5	4.3	14.351
19920427	1	4.1	12.535
19920428	0.5	5.1	10.65
19920429	0	6.95	10.775
19920430	0.5	7.85	9.753
19920501	1	7.3	9.251
19920502	2.5	7.5	8.52
19920503	3.3	6.45	8.347
19920504	0.3	4	6.473
19920505	0	3.8	5.325
19920506	0	4.65	4.698
19920507	0	7.75	4.256
19920508	0	11.25	3.909
19920509	0	16	3.633
19920510	0	14.9	3.295
19920511	0	15	2.989
19920512	0	14.8	2.676
19920513	6.9	16.95	2.654
19920514	0.3	7.3	2.794
19920515	0.5	10.25	2.33
19920516	2.3	13.5	2.329
19920517	0	14.35	2.145
19920518	0.5	10.85	2.019
19920519	0	12.2	1.819
19920520	0	16.15	1.687
19920521	0	19.6	1.528
19920522	0.8	20.85	1.367
19920523	0.3	20.75	1.24
19920524	3.8	7.5	1.482
19920525	0	6.5	1.348
19920526	5.3	7.7	1.318
19920527	10.9	8.85	1.58
19920528	1.8	10.35	1.625
