Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	Snowcover	SM	Recharge	SUZ	SLZ	Q0	Q1	Q2	Qsim_rain	Qsim_snow
20151001	2.4613272916	1.116	0.0	7.9	2.27	2.27	0.0	0.00	69.7	0.0	10.0	1.9	0.000	2.2705270398	0.1908002518	2.461	0.000
20151002	2.0019530448	0.592	0.0	5.9	1.68	1.68	0.0	0.00	68.0	0.0	8.0	2.0	0.000	1.8076289216	0.1943241232	2.002	0.000
20151003	1.6279538207	0.452	0.0	6.2	1.86	1.91	0.0	0.00	66.2	0.0	6.3	2.0	0.000	1.4304226053	0.1975312153	1.628	0.000
20151004	1.3234948108	0.376	0.0	6.4	1.80	1.90	0.0	0.00	64.4	0.0	4.9	2.0	0.000	1.1230448057	0.2004500051	1.323	0.000
20151005	1.0756752617	0.340	0.0	7.3	2.12	2.30	0.0	0.00	62.3	0.0	3.8	2.1	0.000	0.8725688522	0.2031064095	1.076	0.000
20151006	0.8801196244	0.319	0.1	8.6	2.47	2.77	0.0	0.00	59.8	0.0	3.0	2.1	0.000	0.6745956087	0.2055240157	0.880	0.000
20151007	0.7148609603	0.314	0.0	10.8	1.75	2.04	0.0	0.00	58.1	0.0	2.2	2.1	0.000	0.5071366697	0.2077242906	0.715	0.000
20151008	0.5804045377	0.308	0.0	7.1	1.50	1.80	0.0	0.00	56.6	0.0	1.6	2.1	0.000	0.3706777665	0.2097267712	0.580	0.000
20151009	1.5177793382	1.196	17.1	7.1	1.07	1.19	0.0	0.00	67.0	5.7	5.7	2.1	0.000	1.3062300998	0.2115492383	1.518	0.000
20151010	1.2556237753	0.728	0.3	4.9	1.99	2.07	0.0	0.00	65.2	0.1	4.6	2.2	0.000	1.042415901	0.2132078743	1.256	0.000
20151011	1.0215833949	0.533	0.0	9.3	2.02	2.16	0.0	0.00	63.2	0.0	3.6	2.2	0.000	0.8068659882	0.2147174068	1.022	0.000
20151012	0.8310123667	0.467	0.0	13.4	2.12	2.34	0.0	0.00	61.0	0.0	2.7	2.2	0.000	0.6149211273	0.2160912394	0.831	0.000
20151013	0.9835950528	0.469	5.0	13.2	1.42	1.58	0.0	0.00	63.0	1.7	3.4	2.2	0.000	0.7662534818	0.217341571	0.984	0.000
20151014	1.1157176321	0.666	4.9	6.0	1.61	1.74	0.0	0.00	64.5	1.7	3.9	2.2	0.000	0.8972381283	0.2184795037	1.116	0.000
20151015	0.9080786986	0.539	0.0	6.4	2.00	2.16	0.0	0.00	62.5	0.0	3.0	2.2	0.000	0.6885635569	0.2195151417	0.908	0.000
20151016	0.8762943535	0.553	2.2	4.2	1.91	2.11	0.0	0.00	62.1	0.7	2.9	2.2	0.000	0.6558366728	0.2204576807	0.876	0.000
20151017	0.7131658821	0.594	7.2	-0.6	2.04	2.30	4.1	1.00	60.0	0.0	2.2	2.2	0.000	0.4918503922	0.22131549	0.713	0.000
20151018	0.5803174743	0.564	0.8	-3.3	0.00	1.09	4.5	1.00	60.0	0.0	1.6	2.2	0.000	0.358221288	0.2220961862	0.580	0.000
20151019	0.4721363348	0.516	0.8	-2.3	0.00	2.01	5.0	1.00	60.0	0.0	1.1	2.3	0.000	0.2493296332	0.2228067016	0.472	0.000
20151020	0.7071354295	0.569	0.4	7.1	0.00	1.33	0.0	0.00	63.7	1.7	2.1	2.3	0.000	0.4836820845	0.223453345	0.684	0.023
20151021	0.6327296625	0.528	0.9	9.6	1.23	1.34	0.0	0.00	63.0	0.3	1.8	2.3	0.000	0.4086878042	0.2240418583	0.610	0.022
20151022	0.5775324672	0.495	1.0	10.5	1.02	1.12	0.0	0.00	62.7	0.3	1.6	2.3	0.000	0.3529550003	0.2245774669	0.556	0.022
20151023	0.4886913287	0.459	0.3	1.8	0.82	0.92	0.0	0.00	62.0	0.1	1.2	2.3	0.000	0.2636264017	0.2250649269	0.470	0.018
20151024	0.3977547398	0.416	0.0	1.6	1.75	1.97	0.0	0.00	60.3	0.0	0.8	2.3	0.000	0.1722461732	0.2255085666	0.384	0.014
20151025	0.5511603447	0.519	3.8	6.4	1.36	1.54	0.0	0.00	61.5	1.2	1.4	2.3	0.000	0.3252480195	0.2259123252	0.525	0.026
20151026	0.4969191149	0.476	0.8	1.8	1.27	1.44	0.0	0.00	60.8	0.3	1.2	2.3	0.000	0.2706393271	0.2262797877	0.473	0.024
20151027	0.4045750814	0.432	0.0	2.4	0.92	1.05	0.0	0.00	59.9	0.0	0.8	2.3	0.000	0.1779608642	0.2266142172	0.386	0.018
20151028	1.5225060626	0.944	18.0	3.1	0.91	0.97	0.0	0.00	70.5	6.4	5.7	2.3	0.000	1.2955874796	0.226918583	1.446	0.077
